bar,start,2017,id,band,lanenr,number
Bruce Turgon,1992,1995,voc,Foreigner,17,2
Scott Gilman,1993,1995,guitar,Foreigner,18,1
Scott Gilman,1993,1995,voc,Foreigner,18,2
Ron Wikso,1995,1998,drums,Foreigner,19,1
Brian Tichy,1998,2000,drums,Foreigner,20,1
Brian Tichy,2008,2010,drums,Foreigner,20,2
Brian Tichy,2011,2012,drums,Foreigner,20,3
Brian Tichy,1998,2000,voc,Foreigner,20,4
Brian Tichy,2008,2010,voc,Foreigner,20,5
Brian Tichy,2011,2012,voc,Foreigner,20,6
Denny Carmassi,2002,2003,drums,Foreigner,21,1
Jason Bonham,2004,2008,drums,Foreigner,22,1
Jason Bonham,2004,2008,voc,Foreigner,22,2
Chas West,2004,2005,guitar,Foreigner,23,1
Chas West,2004,2005,voc,Foreigner,23,2
Paul Mirkovich,2007,2008,key,Foreigner,24,1
Brian Head,2008,2009,drums,Foreigner,25,1
Jason Sutter,2010,2011,drums,Foreigner,26,1
